rank,score,mae,medianAbsError,rmse,avgSignedError,exactPct,within1Pct,within2Pct,lastPerformanceWeight,fantasyAverageWeight,presenceWeight,adjustmentRate,expectedStrength,absencePenalty
41,7.912185,2.861004,2.000000,4.058691,-1.426641,16.9884,40.0579,57.9151,0.34,0.38,0.25,0.56,1.25,-0.05
42,7.917661,2.878378,2.000000,4.039142,-0.810811,15.5405,40.7336,57.5290,0.34,0.18,0.45,0.56,1.25,-0.02
43,7.926151,2.876448,2.000000,4.057264,-0.978764,16.0232,40.9266,57.8185,0.22,0.28,0.45,0.56,1.25,-0.05
44,7.940663,2.895753,2.000000,3.985979,-1.079151,15.3475,38.6100,55.9846,0.46,0.38,0.25,0.56,0.75,-0.02
45,7.949409,2.894788,2.000000,4.000845,-1.267375,16.2162,38.8031,55.9846,0.46,0.38,0.25,0.56,0.75,-0.05
46,7.950660,2.882239,2.000000,4.034839,-1.077220,16.9884,38.7066,57.6255,0.46,0.38,0.45,0.42,1,-0.05
47,7.952901,2.891892,2.000000,4.031967,-1.129344,14.8649,39.7683,56.9498,0.46,0.28,0.25,0.56,1,-0.02
48,7.961989,2.898649,2.000000,4.028015,-0.678571,15.8301,39.8649,56.5637,0.46,0.18,0.45,0.56,0.75,-0.02
49,7.966151,2.895753,2.000000,4.059880,-0.808880,14.8649,40.8301,57.5290,0.22,0.28,0.45,0.56,1.25,-0.02
50,7.966899,2.890927,2.000000,4.039262,-1.319498,15.9266,39.2857,56.5637,0.46,0.28,0.25,0.56,1,-0.05
